,Ano de exibição,Título da obra,Gênero,País(es) produtor(es) da obra,Nacionalidade da obra,Empresa distribuidora,Origem da empresa distribuidora,Público no ano de exibição,Renda (R$) no ano de exibição
78,2019,Adam,Ficção,"Bélgica, França, Marrocos",Estrangeira,Arteplex,Distribuição Nacional,16212.0,288790.0
79,2019,Adeus À Noite,Ficção,"Alemanha, França",Estrangeira,Pandora Filmes,Distribuição Nacional,12802.0,202967.0
80,2019,After,Ficção,Estados Unidos,Estrangeira,Diamond Films,Distribuição Nacional,263616.0,3902213.0
82,2019,Aladdin,Ficção,Estados Unidos,Estrangeira,Disney,Distribuição Internacional,4788803.0,80060751.0
83,2019,Alaska,Ficção,Brasil,Brasileira,Elo Company,Distribuição Nacional,2143.0,17500.0
84,2019,Albatroz,Ficção,Brasil,Brasileira,Paris,Distribuição Nacional,6387.0,112633.0
85,2019,Alex Camera 10,Documentário,Brasil,Brasileira,Moro Comunicação,Distribuição Nacional,358.0,4686.0
86,2019,Alita: Anjo De Combate,Ficção,"Argentina, Canadá, Estados Unidos",Estrangeira,Fox,Distribuição Internacional,1028151.0,16823123.0
87,2019,Alma Imoral,Documentário,Brasil,Brasileira,Elo Company,Distribuição Nacional,3143.0,54483.0
88,2019,Amanda,Ficção,França,Estrangeira,Imovision,Distribuição Nacional,13131.0,213785.0
89,2019,Amanhã Chegou,Documentário,Brasil,Brasileira,Elo Company,Distribuição Nacional,23.0,306.0
90,2019,Ama-San,Documentário,"Japão, Portugal",Estrangeira,Bretz Filmes,Distribuição Nacional,1717.0,23330.0
91,2019,Amazônia Groove,Documentário,Brasil,Brasileira,Pagu Pictures,Distribuição Nacional,1483.0,23661.0
92,2019,"Amazônia, O Despertar Da Florestania",Documentário,Brasil,Brasileira,Descoloniza Filmes,Distribuição Nacional,3843.0,49989.0
93,2019,Ambiente Familiar,Ficção,Brasil,Brasileira,Elo Company,Distribuição Nacional,728.0,6111.0
94,2019,Amigos Alienígenas,Animação,"Alemanha, Dinamarca, Luxemburgo",Estrangeira,Playarte,Distribuição Nacional,79.0,1068.0
95,2019,Amigos Para Sempre,Ficção,Estados Unidos,Estrangeira,Califórnia,Distribuição Nacional,19084.0,439896.0
96,2019,Amor Até Às Cinzas,Ficção,"China, França, Japão",Estrangeira,Imovision,Distribuição Nacional,8116.0,136608.0
